build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
1955,4.0,1,153,Sterrebeek,3,1933.0,550000.0,vbd51386,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/vbd51386,To be renovated,0,1,Flemish Brabant,house,to_renovate
1989,,0,101,Wavre,2,1300.0,265000.0,vbd39081,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39081,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
,3.0,1,216,Orp-le-Grand,4,1350.0,,rbu32325,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu32325,New,0,0,Walloon Brabant,house,ready_to_move_in
1967,4.0,1,372,Kraainem,5,1950.0,1100000.0,vbd39039,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd39039,To be renovated,0,1,Flemish Brabant,house,to_renovate
,3.0,1,85,Wavre,2,1300.0,209000.0,vbd39248,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39248,,0,0,Walloon Brabant,apartment,
,2.0,1,216,Orp-le-Grand,4,1350.0,,rbu32326,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu32326,New,0,0,Walloon Brabant,house,ready_to_move_in
1964,4.0,1,280,Kraainem,5,1950.0,1795000.0,vbd40802,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd40802,Normal,0,1,Flemish Brabant,house,ready_to_move_in
2022,,0,98,Wavre,2,1300.0,346736.0,vbd39630,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39630,New,0,1,Walloon Brabant,apartment,ready_to_move_in
,3.0,1,219,Orp-le-Grand,4,1350.0,,rbu32327,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu32327,New,0,0,Walloon Brabant,house,ready_to_move_in
1960,4.0,1,513,Kraainem,7,1950.0,1850000.0,vbd42476,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd42476,Normal,0,1,Flemish Brabant,house,ready_to_move_in
2022,,0,99,Wavre,2,1300.0,326736.0,vbd39631,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39631,New,0,1,Walloon Brabant,apartment,ready_to_move_in
2022,3.0,1,200,Orp-le-Grand,4,1350.0,,rbu33009,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu33009,New,0,0,Walloon Brabant,house,ready_to_move_in
1960,4.0,1,230,Kraainem,4,1950.0,1195000.0,vbd43451,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd43451,Normal,0,1,Flemish Brabant,house,ready_to_move_in
2026,2.0,0,126,Wavre,3,1300.0,541000.0,vbd39775,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39775,New,0,1,Walloon Brabant,apartment,ready_to_move_in
2022,2.0,1,195,Orp-le-Grand,3,1350.0,,rbu33010,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu33010,New,0,0,Walloon Brabant,house,ready_to_move_in
1990,4.0,1,335,Kraainem,5,1950.0,1180000.0,vbd43458,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd43458,Normal,0,1,Flemish Brabant,house,ready_to_move_in
,,0,65,Wavre,2,1300.0,199900.0,vbd39839,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39839,,0,1,Walloon Brabant,apartment,
2022,2.0,1,195,Orp-le-Grand,3,1350.0,,rbu33011,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu33011,New,0,0,Walloon Brabant,house,ready_to_move_in
1962,4.0,1,254,Kraainem,4,1950.0,1650000.0,vbd43888,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd43888,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
2022,3.0,1,219,Orp-le-Grand,4,1350.0,,rbu33012,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/rbu33012,New,0,0,Walloon Brabant,house,ready_to_move_in
1969,2.0,0,105,Wavre,2,1300.0,290000.0,vbd39942,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd39942,Excellent,0,1,Walloon Brabant,apartment,ready_to_move_in
1900,3.0,1,213,Orp-le-Grand,3,1350.0,149000.0,vbc56904,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/vbc56904,To be renovated,0,1,Walloon Brabant,house,to_renovate
1954,4.0,1,650,Kraainem,6,1950.0,1600000.0,vbd48520,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd48520,To renovate,1,1,Flemish Brabant,house,to_renovate
2021,2.0,0,86,Wavre,2,1300.0,445000.0,vbd42553,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd42553,Excellent,0,1,Walloon Brabant,apartment,ready_to_move_in
1992,4.0,1,250,Orp-le-Grand,5,1350.0,439000.0,vbc61849,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/vbc61849,Normal,0,1,Walloon Brabant,house,ready_to_move_in
1958,3.0,1,314,Kraainem,4,1950.0,795000.0,vbd51416,Residence,https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd51416,To renovate,0,1,Flemish Brabant,house,to_renovate
1979,,0,145,Wavre,3,1300.0,299000.0,vbd42913,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd42913,To be renovated,0,1,Walloon Brabant,apartment,to_renovate
2025,4.0,1,165,Orp-le-Grand,4,1350.0,385000.0,vbd11904,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/vbd11904,New,0,0,Walloon Brabant,house,ready_to_move_in
